收支类型,账单类型,金额,手续费,不计收支,不计预算,分类,子分类,记账日期,备注信息,标签,报销状态,退款状态,退款金额,账本名称,账户名称,转入账户名称,借款账户名称
支出,普通收支,210,,否,否,家庭日常,皇冠,2026-5-17 21:11,顺德过路费,,否,否,,,,,
支出,普通收支,429,,否,否,家庭日常,买菜,2026-5-17 21:9,床游得，牛肉火锅,,否,否,,,,,
支出,普通收支,60,,否,否,家庭日常,皇冠,2026-5-17 21:9,洗车,,否,否,,,,,
支出,普通收支,210,,否,否,家庭日常,出去吃,2026-5-17 21:9,金秋客家,,否,否,,,,,
支出,普通收支,20,,否,否,家庭日常,皇冠,2026-5-17 21:8,推拿停车,,否,否,,,,,
支出,普通收支,583,,否,否,家庭日常,固定开销,2026-5-17 19:19,手机,,否,否,,,,,
支出,普通收支,29,,否,否,家庭日常,外卖,2026-5-17 16:52,,,否,否,,,,,
支出,普通收支,25,,否,否,家庭日常,外卖,2026-5-16 17:39,,,否,否,,,,,
支出,普通收支,5,,否,否,家庭日常,,2026-5-13 21:9,宝矿力,,否,否,,,,,
支出,普通收支,22,,否,否,家庭日常,外卖,2026-5-10 16:59,,,否,否,,,,,
